AccessionNumber,Notes,TaxonName,Observer_ID,IdentificationType_C1,PreferredName_C1,Phylum,Class,Order,Family,Substrate,Country_CE1,NZAreaCode_CE1,Locality_CE1,Collector_CE1,CollectionDate_CE1,GeoReference_CE1,DecimalLatitude_CE1,DecimalLongitude_CE1
PDD 84960,"Public Note: ""wrong label on photo""",Agaricus bisporus,B.P. Segedin,Determination,Agaricus bisporus (J.E. Lange) Imbach,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,spent mushroom compost,New Zealand,Auckland,"Mt Eden, 16 Waitomo st, GG's garden",B.P. Segedin,1988/12/09,  2666240 6476940,-36.895973,174.748736
PDD 19008,,Galactinia adae (J. Sadler) Bourdot,J.M. Dingley,Determination,Peziza domiciliana Cooke 1877,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,compost in mushroom beds,New Zealand,Auckland,Takanini,R. White,1959/05/00,  2680010 6459480,-37.050648,174.907499
PDD 64888,,Pleurotus pulmonarius (Fr.) Quel.,P.K. Buchanan,Determination,Pleurotus pulmonarius (Fr.) Quél.,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,,New Zealand,Auckland,"Mt Albert, Mushroom Developments",L. Gao,1995/05/17,  2664040 6477880,-36.887905,174.723847
PDD 70562,,Pleurotus pulmonarius (Fr.) Quel.,B.P. Segedin,Determination,Pleurotus pulmonarius (Fr.) Quél.,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,,New Zealand,Auckland,"Kumeu, Rainbow Mushroom Farm, Moontide Road",P.K. Buchanan,1994/09/30, 2648780 6490460,-36.777199,174.550115
PDD 89176,,Barya agaricicola (Berk.) Höhn.,B.C. Paulus,Determination,Neobarya agaricicola (Berk.) Samuels & Lowen,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,mushroom,New Zealand,Waikato,Rangitoto Station,P.R. Johnston,2006/05/16, 2723991 6314210,-38.349431,175.447038
PDD 99306,"Public Note: cap 185mm diam., mushroom 225mm tall",Volvariella gloiocephala (DC.) Boekhout & Enderle,P.K. Buchanan,Determination,"Volvopluteus gloiocephalus (DC.) Vizzini, Contu & Justo 2011",Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,wood chips in roadside garden,New Zealand,Auckland,"St Johns, Stonefields, vic. netball courts","P.K. Buchanan, J. Teo",2010/08/17,  2675027 6477608,-36.888305,174.847139
PDD 48131,,Agaricus bisporus (J. Lange) Pilat,"D. van Selm, P.K. Buchanan",Determination,Agaricus bisporus (J.E. Lange) Imbach,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,mushroom compost,New Zealand,Auckland,Takanini,D. van Selm,1987/08/01,  2680450 6461090,-37.036057,174.912045
PDD 24359,,Rhopalomyces sp.,R.F.R. McNabb,Determination,Blastocladiella V.D. Matthews 1937,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,mushroom compost,New Zealand,Auckland,Takanini,K. Fuller,1965/03/16,  2679990 6459510,-37.050382,174.907266
PDD 20167,,Oedocephalum fimetarium (Riess) Sacc.,F.J. Morton,Determination,Oedocephalum fimetarium (Riess) Sacc. 1886,Ascomycota,Pezizomycetes,Pezizales,,mushroom compost,New Zealand,Auckland,Henderson,,1962/08/31,  2654790 6478820,-36.881062,174.619898
PDD 24575,,Verticillium malthousei Ware,R.F.R. McNabb,Determination,Lecanicillium fungicola (Preuss) Zare & W. Gams 2008,Ascomycota,Sordariomycetes,,Plectosphaerellaceae,,New Zealand,Auckland,ex Mortimer's mushroom beds,R.F.R. McNabb,1965/05/26,  2667540 6483480,-36.836814,174.761817
PDD 106241,"Public Note: https://inaturalist.nz/observations/2932023. [WD] Creamy coloured mushroom with a tan centre and a viscid smooth cap and stipe. Gills cream, narrowly attached and margin of cap exceeds gills. Stipe cream with no distinct ring but possible fibrous remnants seen on stipe. Flesh breaks easily when handled. On soil amongst litter in remnant mature coastal broadleaf forest. [JAC] this does not have the minutely ornamented spores of other NZ Limacella. Stem with basal rhizoids. [Sep. 2016] sequence says Limacella in the glischra group with L. illinta.",Limacella pitereka,J.A. Cooper,Determination,Limacella pitereka Grgur.,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,soil,New Zealand,Auckland,"Auckland, Howick, Mangemangeroa Valley Walkway",W.M. Daley,2016/4/25,-36.917009  174.939165 ,-36.917009,174.939165
PDD 106796,"Public Note: https://inaturalist.nz/observations/2932016 [WD] Mushroom with a dry creamy-tan cap with purple hints and purple gills. Cap lightly fibrous, 3.5 cm in diameter and 3 cm in height. Gills attached with a slight decurrent tooth. Stipe pale purple near apex and tan towards base. On soil in remnant mature coastal broadleaf forest. [JAC] the spore print is most definitely white and the spores are definitely entolomatoid! length=6.3-7.9µm (µ=7.0, σ=0.50), width=4.0-5.3µm (µ=4.8, σ=0.34), Q=1.3-1.8µm (µ=1.47, σ=0.15), n=16. The cap is fibrous. Stem fibrous but without caulocystidia. Hyphae clamped. Pileipellis an interwoven cutis. Pigment intra-cellular. Gill edge with patches of brown amorphous agglutinate material. Cheilocystidia mostly hyaline, clavate with apiculus, occasionally thick-walled and brown 30 x 10. Pleurocystidia utriform, occasionally with brown plasmatic pigment. Sequence says this is a Tricholosporum and combined ITS/LSU suggests relationship with Callistosporium/Pleurocollybia rather than Entolomataceae. Keys to subgoniospermum/tetragonosporum",Asproinocybe daleyae,J.A. Cooper,Determination,Asproinocybe daleyae J.A. Cooper,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,wood,New Zealand,Auckland,"Auckland, Howick, Mangemangeroa Valley Walkway",W.M. Daley,2016/3/6,-36.919932  174.939272 ,-36.919932,174.939272
PDD 106538,"Public Note: [WMD] This mushroom with an orangy can and pinky-beige gills can be found growing on wood. There is a distinct depression in the cap and the gills are attached and descending down the stipe. The base of the stipe is expanded with a white mycelial pad. Remnant mature coastal broadleaf forest. No distinctive microscopic features. Clamps obvious on cap cells. Spores are small, about 5.2 x 4 micron and are not amyloid. Cap hygrophanous and long lasting. Looks quite similar to an observation by Grey https://inaturalist.nz/observations/6762934 although he records that it was observed on soil whereas all of the fruit bodies I have observed have been on fallen branches. [JAC] Poor sequence says C. wellingtonensis.",Clitocybe wellingtonensis,J.A. Cooper,Determination,Clitocybe wellingtonensis G.M. Taylor & G. Stev.,Basidiomycota,Agaricomycetes,Agaricales,Clitocybaceae,log,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,2017/4/17,-36.917749 174.93836,-36.917749,174.938360
PDD 105720,"Public Note: when fresh has yellow stem base and what looks like yellow caulocystidia. 4-spored, clamped. Pileipellis of broad chains with slightly swollen ovoid encrusted terminal cells (KOH). Cheilo cylindrical and encrusted, some with brown/purple insoluble pigment (melzers/KOH). No tissue amyloid or dextrinoid. Has occasional (not dominant) thick walled basidia which are brown in melzers and purple in KOH and water. No pleurocystidia. Spores thin-wallled, collapsing, exlding apiculus length=3.5–4.6µm (µ=4.1, σ=0.28), width=2.8–3.6µm (µ=3.2, σ=0.25), Q=1.1–1.6µm (µ=1.29, σ=0.14), n=20. Same as ZT9386, NZ-120 and ZT1118. Undescribed species. Same as Michael Wallace's collections on Mushroom Observer. P. celosia ined. Reaction of fresh cap tissue to KOH needs to be checked. The Hawaiian coloured Pseubaeospora shows a grey colour and Californian species green.",Pseudobaeospora sp. 'Kaihoka Lakes (PDD 105720)',J.A. Cooper,Determination,Pseudobaeospora sp. 'Kaihoka Lakes (PDD 105720)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,,soil,New Zealand,Nelson,Kaihoka Lakes Track,P.R. Johnston,2014/05/12, 2476137 6072535,-40.552901,172.600348
PDD 106395,"Public Note: [WMD] This little mushroom has a creamy-tan cap with a small knob and very yellow gills. The gills are sinuate, attached at the top only. The cap size is about 1 to 1.5 cm in diameter and 3 to 4 cm in height. The stipe is yellow at the apex and a pinky-tan lower down with fine rhizoids at the base. Growing amongst litter in remnant mature coastal broadleaf forest. This distinctive species with yellow gills is very common in this reserve and I have observed it many times over the past two years but I had no idea what it was. I think it is possibly another species of Pseudobaeospora. There appear to be cystidia on the cap surface but unable to see cystidia on the gill edge with this species. The spores appear to be somewhat amyloid in Lugol's Iodine. [JAC] spores on lamellae inamyloid. Without cheilocystidia. Spores on cap thick-walled, slightly grey/brown - a peculiar dextrinoid reaction?! Pileipellis a broad clamped (?) cutis. Same as jac9963 or jac9968. Sequence says 9968",Pseudobaeospora sp. 'Poroari (PDD 87071)',W.M. Daley,Determination,Pseudobaeospora sp. 'Poroari (PDD 87071)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,,litter,New Zealand,Auckland,"Auckland, Howick, Mangemangeroa Valley Walkway",W.M. Daley,2016/7/30,-36.916094 174.939814,-36.916094,174.939814
PDD 104644,Public Note: 28th Fungal Foray of New Zealand,Hypomyces (Fr.) Tul. & C. Tul. 1860,P.R. Johnston,Determination,Hypomyces (Fr.) Tul. & C. Tul. 1860,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,mushroom,New Zealand,Nelson,Wainui Falls Track,P.R. Johnston,2014/05/16, 2504864 6040775,-40.839551,172.939243
PDD 91831,,Agaricus bisporus (J.E. Lange) Pilát f. avellanea s. Lange,B.P. Segedin,Determination,Agaricus bisporus (J.E. Lange) Imbach,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,mushroom beds,New Zealand,,Department of Agriculture,B.P. Segedin,1962/05/29,,,
PDD 66270,,Pleurotus eryngii (DC.) Quel.,P.K. Buchanan,Determination,Pleurotus eryngii (DC.) Quél.,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,cultivated mushroom,Japan,,"Hiroshima Prefecture, Higashi-Hiroshima, supermarket",P.K. Buchanan,1996/07/18,,,
PDD 20157,,Paecilomyces marquandii (Massee) S. Hughes,F.J. Morton,Determination,"Marquandomyces marquandii (Massee) Samson, Houbraken & Luangsa-ard",Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,mushroom compost,New Zealand,Auckland,Henderson,,1962/08/31,  2654790 6478820,-36.881062,174.619898
PDD 112658,"Public Note: [NS] Scattered and clustered under pine. Odor fungal, indistinct, staining pink to red quickly on all parts. taste mild, sweet, (like a button mushroom) [JAC] presumably A. sylvaticus",Agaricus sylvaticus,J.A. Cooper,Determination,Agaricus sylvaticus Schaeff.,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,New Zealand,North Canterbury,Balmoral Recreation Reserve,N. Siegel,15/05/2018,-42.866998 172.768184,-42.866998,172.768184
PDD 113183,"Public Note: [NS] On well decayed wood, near old beech stump. Cap 11-40 mm across, stipe 21-44 mm long, 3-5 mm thick, somewhat rubbery texture, no odor, taste indistinct. UV light, whole mushroom peach colored. [JAC] Gymnopus?",Clitocybe sp. 'Klondyke (PDD 95822)',J.A. Cooper,Determination,Clitocybe sp. 'Klondyke (PDD 95822)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,Clitocybaceae,litter,New Zealand,Southland,"Manapouri, Supply Bay Road, west of bike path, south of road",N. Siegel,21/04/2019,-45.530977  167.622182 ,-45.530977,167.622182
PDD 112400,"Public Note: [NS] gregarious in moss an dsoil under beech and teatree. Whole mushroom covered with copious slime, cap 17-29 mm acorss, stipe 44-69 mm long. 4-7 mm thick, no odor, taste mild. [JAC] clearly C. lubricanescens",Cortinarius lubricanescens,J.A. Cooper,Determination,Cortinarius lubricanescens Soop,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,litter,New Zealand,Buller,"Nelson Lakes NP, Lake Rotoiti, Honeydew trail, near parking lot;",N. Siegel,18/05/2018,-41.810092 172.852449,-41.810092,172.852449
PDD 45221,,Diehliomyces microsporus (Diehl & Lambert) Gilkey,P.R. Johnston,Determination,Diehliomyces microsporus (Diehl & E.B. Lamb.) Gilkey,Ascomycota,Pezizomycetes,Pezizales,,mushroom beds,New Zealand,Auckland,,P. Fry,1984/04/30,  2667610 6483360,-36.837882,174.762629
PDD 34097,,Diehliomyces microsporus (Diehl & Lambert) Gilkey,J.M. Dingley,Determination,Diehliomyces microsporus (Diehl & E.B. Lamb.) Gilkey,Ascomycota,Pezizomycetes,Pezizales,,mushroom beds,New Zealand,Hawkes Bay,Havelock North,B. Parker,1975/08/27,  2842930 6162950,-39.673202,176.881789
PDD 29756,,Diehliomyces microsporus (Diehl & Lambert) Gilkey,I.C. Harvey,Determination,Diehliomyces microsporus (Diehl & E.B. Lamb.) Gilkey,Ascomycota,Pezizomycetes,Pezizales,,mushroom beds,New Zealand,Mid Canterbury,Christchurch,I.C. Harvey,1972/02/11,  2481660 5741880,-43.530000,172.649262
PDD 41118,,Doratomyces stemonitis (Pers.) F.J. Morton & J.M.B. Sm.,G.J. Samuels,Determination,Cephalotrichum stemonitis (Pers.) Link 1809,Ascomycota,Sordariomycetes,Microascales,Microascaceae,mushroom compost,New Zealand,Mid Canterbury,"Christchurch, Marshlands",I.C. Harvey,1980/05/28,  2481860 5747950,-43.475374,172.652048
PDD 111523,Public Note: DNA extract from fresh tissue in buffer; ITS sequence; Public Note: pale pink cyphelloid mushroom on dead gahnis leaves; the same thing was seen on Gahnia at other localities around Haast,Mycena (Pers.) Roussel 1806,J.A. Cooper,Determination,Mycena (Pers.) Roussel 1806,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,dead leaf,New Zealand,Westland,"Haast, Monro Beach Track",P.R. Johnston,14 May 2018,-43.7003  169.266 ,-43.700300,169.266000
PDD 81715,,Lentinula edodes (Berk.) Pegler,P.R. Johnston,Determination,Lentinula edodes (Berk.) Pegler,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,mushroom farm,New Zealand,Mid Canterbury,Canterbury,M. Braithwaite,2004/11/01,  2478000 5739000,-43.555775,172.603818
PDD 113229,"Public Note: [NS] Scattered on trail bank, in moss under beech .Cap 12-20 mm across, dry, stipe 6-14 mm long, 2-3 mm thick, latex very scant, white, mushroom very fragile, no odor, taste mild. [JAC] a sp. Nov. in the eucalypti group near hauroko",Lactarius,N. Siegel,Determination,Lactarius Pers. 1797,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,litter,New Zealand,Fiordland,"Kepler Track, upriver from Rainbow Reach crossing.",N. Siegel,23/04/2019,-45.488949 167.669068,-45.488949,167.669068
PDD 105555,"Public Note: primordia oxidising psilocybin blue. With weak ring remnant. Taste mild.  Pleurocystdia present. In Hesler keys to punctifolius but spores too big. Other possibilities are luteoviridis. dried cap 5b6 5ch. Pleurocystidia not seen. Spores coarsely warted, dextrinoid, length=9.2–10.3µm (µ=9.6, σ=0.31), width=5.5–6.5µm (µ=6.0, σ=0.26), Q=1.4–1.7µm (µ=1.59, σ=0.08), n=20. I thought this was G. cyanopalmicola but a sequence in GenBank is different. This appears to be close to sequences labeled G. igniculus and close to a collection from Au, but also recent sequences of one groups of G. purpureosquamulosus. ITS alone is insufficient for this group.",Gymnopilus igniculus aff.,J.A. Cooper,Determination,"Gymnopilus igniculus Deneyer, P.-A. Moreau & Wuilb.",Basidiomycota,Agaricomycetes,Agaricales,,mushroom casing,New Zealand,Mid Canterbury,"Prebbleton, Meadow Mushroom",anon,2014/03/, 2469775 5735122,-43.590284,172.501743
PDD 106528,"Public Note: [GS] A solitary mushroom growing in soil near a Pinus radiata tree. Cap fawn-brown to very dark-brown, 70 mm across. The very dark areas were presumably due to excessive moisture as they gradually changed to fawn-brown as the cap dried out over several hours. Stem whitish at the apex, increasingly fawn coloured towards the base. Stem was longitudinally striate and had a short root extending from the base. Gills and spore print both white. [JAC] spores globose, 4-spored",Hymenopellis colensoi,J.A. Cooper,Determination,Hymenopellis colensoi (Dörfelt) R.H. Petersen,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,soil,New Zealand,Wanganui,Ashhurst,G. Smith,2017/7/9,-40.3028653234 175.7564020157,-40.302865,175.756402
PDD 107001,"Public Note: [WD] Mushroom with a tan cap and a small darker nipple in the centre. The gills are cream and the stipe is creamy with tiny dark ""fibres"". The gills are attached and the cap diameter was 2.7 cm and the fruit body was 7 cm in height. Remnant mature coastal broadleaf forest. [JAC] From looking at the material then yes, Hydropus section mycenoides and microscopically identical to H. funebris. Sequence say near (same as) H. 'kaituna'. Just a pale version? Is indeed near H. funebris",Hydropus sp. 'Kaituna Valley (PDD 86984)' aff.,W.M. Daley,Determination,Hydropus sp. 'Kaituna Valley (PDD 86984)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,Porotheleaceae,decayed wood,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,2017/4/17,-36.919247  174.937025 ,-36.919247,174.937025
PDD 107002,"Public Note: [WD] Small white mushroom on a large fallen tree trunk. Size 2.2 cm in diameter. Cap, gills and stipe creamy in colour. Gills appear to be attached but pulling away. Remnant mature coastal broadleaf forest. [JAC] I looked at the material. The pileipellis has the characteristic gloeocystidia of Lactocollybia and the right cheilocystdia for the undescribed Lactocollybia sp. 'Waitangi'",Lactocollybia sp. 'Waitangi (PDD 83732)',J.A. Cooper,Determination,Lactocollybia sp. 'Waitangi (PDD 83732)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,decayed wood,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,2017/4/17,-36.91448558 174.94473028,-36.914485,174.944730
PDD 108672,"Public Note: We have a sequence data labelled TFL 160507 but unfortunatley there are two specimens with that prefix  - suffixes 0001A and 001B. The sequence is Mycena sp. 'Rangiwahia'.

The '1000 points of light' clearly refers to mushroom primordia which are not identifiable. Fortunately one of the sub-packets in the collections does contain mature fruitbodies of a mushroom identical to M. sp. 'Rangiwahia'. 

The sequence is near GenBank material mis-labelled Mycopan scabripes, and also near Hydropus trichoderma. It is part of a clade related to Ateniella species, and basal to the porotheliaceae. It is not Hydropus or Mycena.",Mycena sp. 'Rangiwahia (PDD 106087)' J.A. Cooper ined. 2016,J.A. Cooper,Determination,Mycena sp. 'Rangiwahia (PDD 106087)' J.A. Cooper ined. 2016,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,stick,New Zealand,Westland,Fox Glacier access road,T.F. Lockwood,2016/05/07,43.487874 S 170.033605 E,-43.487874,170.033605
PDD 108673,"Public Note: We have a sequence data labelled TFL 160507 but unfortuanetly there are two specimens with that prefix  - suffixes 0001A and 001B. The sequence is Mycena sp. 'Rangiwahia'.

Most of the fragments of wood in this collection show no sign of a mushroom. One fragment has numerous primordia, but they are too immature to recover any diagnsotic detail. They were, prseumably, the '100 points of light'.",Mycena sp. 'Rangiwahia (PDD 106087)' J.A. Cooper ined. 2016,J.A. Cooper,Determination,Mycena sp. 'Rangiwahia (PDD 106087)' J.A. Cooper ined. 2016,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,stick,New Zealand,Westland,Fox Glacier access road,T.F. Lockwood,2016/05/07,43.487874 S 170.033605 E,-43.487874,170.033605
PDD 85731,Public Note: Mushroom grey pink,Lepiota,G.M. Taylor,Determination,Lepiota (Pers.) Gray,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,under Coprosma rhamnoides,New Zealand,Auckland,"Campus, OGH [Old Government House] grounds, by Waterloo Quadrant",G.M. Taylor,1983/03/25,  2668310 6482030,-36.849735,174.770782
PDD 20695,,Coprinus fimetarius (L.) Fr.,J.M. Dingley,Determination,"Coprinopsis cinerea (Schaeff.) Redhead, Vilgalys & Moncalvo",Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,mushroom compost heap,New Zealand,Auckland,Mt Albert,D.W. Dye,1962/08/21,  2663710 6477660,-36.889946,174.720195
